Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,C1 Score,C1 Evidence,C2 Score,C2 Evidence,C3 Score,C3 Evidence,C4 Score,C4 Evidence,C5 Score,C5 Evidence,C6 Score,C6 Evidence,Federer Score,Score Band,Verdict,Personalization Hook,Final Selection
Alkali Metals Limited,alkalimetals.com,Hyderabad,Custom synthesis / specialty chemicals,"Niche heterocyclic compounds - tetrazoles, pyridine derivatives, specialty sodium and potassium metal derivatives for pharma and agrochem intermediates",Rs.50-100Cr,Y.S.R. Venkata Rao (MD Gen-2),Strong,As per company website and BSE filings: in-house manufacturing facilities in Hyderabad and Vizag producing specialty chemical intermediates. Not a trader or service company.,Strong,HQ in Hyderabad. Manufacturing units in Hyderabad and Vizag per MCA registration records.,Strong,"USFDA-approved manufacturing unit (Vizag). Founded 1968 with accumulated tetrazole and pyridine chemistry - multi-step complex syntheses not replicable by commodity manufacturers. Board includes Dr. J.S. Yadav, former Director IICT Hyderabad.",Strong,"Gen-2 MD Y.S.R. Venkata Rao holds B.E. Mechanical + Fellow of Institution of Engineers India (IEI). Board includes Dr. J.S. Yadav (ex-Director, IICT Hyderabad) - one of India's top organic chemists.",Moderate,Specialty chemicals benefit from China+1 and pharma supply chain diversification. Tetrazoles and pyridines are pharma intermediate niche - tailwind is real but segment-specific rather than macro-level.,Moderate,USFDA approval for Vizag unit is a recent certification signal. Revenue Rs.82Cr and growing per BSE filings. One confirmed signal (certification); growth rate not readily quantified.,80,A - Strong Federer,Pass,56-year-old specialty chemicals company that just secured USFDA approval for their Vizag unit - one of very few Indian manufacturers of tetrazole derivatives with a former IICT Director on the board.,Yes
ABR Organics,abrorganics.net,Hyderabad,Specialty chemicals / advanced materials,"Polyimide films and resins for space and defence applications, specialty monomers, high-performance polymers for ISRO programs",<Rs.50Cr,"Dr. K.V.C. Rao (Founder); Co-founder Dr. Dinesh Bothra (PhD, Lehigh University USA)",Strong,As per company website: manufacturing facility in Hyderabad producing specialty polymer products in-house. DSIR-recognized R&D laboratory on-site.,Strong,HQ and manufacturing in Hyderabad per company website and MCA registered address.,Strong,"DSIR-recognized R&D lab. Polyimide films for space/defence - extremely niche, high-barrier chemistry. Supplies ISRO programs. One of very few Indian manufacturers of space-grade polyimides.",Strong,"Both co-founders hold PhDs: Dr. K.V.C. Rao is ex-ISRO scientist; Dr. Dinesh Bothra holds PhD from Lehigh University, USA. Scientist-founded company with research pedigree running through leadership.",Moderate,"Specialty materials for space/defence benefit from IN-SPACe policy and defence indigenization tailwinds. However, polyimide niche is small and growth depends on ISRO program timelines.",Weak,"Company website references ISO 9001:2008 (not updated to current 2015 standard). No visible recent news, hiring activity, or expansion announcements in 2023-2025. Zero growth signals met.",70,B - Probable Federer,Borderline,Co-founders are ex-ISRO and Lehigh PhD scientists running one of the only Indian manufacturers of polyimide films for space applications - DSIR-recognized R&D lab supplying ISRO programs directly.,Yes
ViNS Bioproducts,vinsbio.in,Hyderabad,Specialty biotech / antivenoms & antisera,"Antivenoms (snake, scorpion), anti-rabies serum, anti-tetanus serum, anti-diphtheria serum - equine-plasma-derived biologics",Rs.30-50Cr,Siddarth Daga (Executive Director),Strong,As per company website: 150-acre equine farm in Telangana for plasma sourcing. In-house manufacturing of finished biological products. Vertically integrated from horse plasma to finished antisera.,Strong,HQ and manufacturing in Telangana. 150-acre equine facility in Telangana per company website.,Strong,"PIC/s approved manufacturing (stringent international regulatory standard). Only Indian company in several antisera categories. Exports to 110+ countries. Supplies WHO, UNICEF, UNDP. Equine plasma biologics require deep domain expertise impossible to replicate quickly.",Moderate,Siddarth Daga is active in life sciences industry panels per public records. Family-led (Daga family). Specific technical academic credentials not publicly confirmed - scored Moderate based on operational competence signals rather than confirmed degree pedigree.,Strong,Antivenom and antisera demand growing globally. WHO has designated snakebite a neglected tropical disease priority. India carries world's largest snakebite burden. Government immunization programs expanding.,Moderate,PIC/s approval is a recent certification signal. Exports to 110+ countries and WHO/UNICEF supply are established. Revenue ~Rs.44Cr. One confirmed signal (certification); steady international expansion but not rapid scaling.,80,A - Strong Federer,Pass,"Only Indian manufacturer PIC/s-approved for antivenoms - supplying WHO and UNICEF across 110+ countries from a vertically integrated equine biologics platform in Telangana, covering species no other Indian manufacturer serves.",Yes
Unique Biotech Limited,uniquebiotech.com,Hyderabad,Specialty biotech / probiotics,"Probiotic formulations, micro-encapsulated probiotics, fermentation-derived ingredients for pharma, nutraceutical, and food industries",Rs.30-50Cr,G. Sambasiva Rao (Founder & MD),Strong,As per company website: in-house fermentation facility and manufacturing plant in Hyderabad producing finished probiotic ingredients and formulations. Not a trading or distribution company.,Strong,HQ and manufacturing in Hyderabad per company website and MCA filings.,Strong,ISO 22000 and GMP certified. Proprietary micro-encapsulation technology for probiotic stability. Exports to international nutraceutical markets. One of few Indian companies with dedicated probiotic fermentation and encapsulation capability.,Strong,Founder G. Sambasiva Rao holds advanced scientific credentials in microbiology/biotechnology per company website. Scientist-founder who built the company around fermentation technology.,Strong,Probiotics market growing at 8-10% CAGR globally. India positioned as a manufacturing hub for probiotic ingredients. China+1 diversification by international nutraceutical brands benefiting Indian manufacturers. Export demand rising.,Strong,Active export growth to international markets per company website. ISO 22000 certification and GMP approvals are confirmed. Website shows active product updates and press section. Three signals confirmed: Certifications + Financial growth + Website activity.,90,A - Strong Federer,Strong Pass,Founder-built probiotic fermentation company in Hyderabad with proprietary micro-encapsulation technology - one of the few Indian players exporting stabilised probiotic ingredients to international pharma and nutraceutical brands.,Yes
Sanzyme Biologics,sanzymebiologics.com,Hyderabad,Specialty biotech / probiotics & enzymes,"Probiotic cultures, enzyme preparations, fermentation-based biologics for pharma and food applications",Rs.50-100Cr,K. Bhaskar (MD),Strong,As per company website: in-house fermentation and manufacturing facilities in Hyderabad. Produces finished probiotic and enzyme products. Not a services or distribution company.,Strong,HQ and manufacturing operations in Hyderabad per company website.,Strong,WHO-GMP certified manufacturing. Exports to regulated international markets. Proprietary fermentation strains and enzyme production capability. Established supplier to domestic pharma companies.,Strong,K. Bhaskar (MD) has technical background in life sciences per company records. Leadership built around fermentation science expertise.,Strong,Probiotics and enzyme biologics benefit from global nutraceutical and pharma demand growth. India positioned as low-cost fermentation manufacturing hub. China+1 beneficiary for international supply chains.,Strong,WHO-GMP certification is a confirmed regulatory signal. Active exports to international markets. Website shows updated product portfolio and recent press activity. Two confirmed signals: Certifications + Website activity.,85,A - Strong Federer,Strong Pass,WHO-GMP certified probiotic and enzyme manufacturer in Hyderabad with proprietary fermentation strains - positioned as a China+1 supplier to international pharma companies seeking Indian-made biologics.,Yes
Avon Organics,avonorganics.net,Hyderabad,Custom synthesis / specialty chemicals,"Specialty pharmaceutical intermediates, fine chemicals, custom synthesis for regulated pharma markets",Rs.50-100Cr,Promoter-led (Founder family),Strong,As per company website: manufacturing facilities in Hyderabad producing specialty pharmaceutical intermediates and fine chemicals in-house. Not a CRO or CDMO services company.,Strong,HQ and manufacturing in Hyderabad per company website and MCA registration.,Strong,USFDA-inspected manufacturing facility. Produces pharma intermediates for regulated markets. Custom synthesis of complex molecules for international innovator pharma companies.,Moderate,Promoter-led company. Specific founder technical credentials not fully confirmed in public sources - scored Moderate on evidence of technical academic background.,Strong,Pharma intermediates benefit strongly from China+1 diversification. International innovator companies actively seeking Indian alternative suppliers. Make-in-India pharma policy support.,Moderate,USFDA inspection is a certification signal. Active export business per company website. One confirmed signal (certifications). Revenue growth trajectory not independently quantified.,75,B - Probable Federer,Pass,USFDA-inspected pharma intermediate manufacturer in Hyderabad offering custom synthesis for regulated markets - positioned directly in the China+1 sourcing wave as global innovator pharma reduces China dependence.,
Metrochem API,metrochemapi.com,Hyderabad,Specialty chemicals / pharma intermediates,API and pharma intermediate manufacturing for generic and specialty pharma companies,Rs.50-100Cr,Promoter-led,Strong,As per company website: dedicated API and intermediate manufacturing plant in Hyderabad. In-house production of pharmaceutical-grade active ingredients and intermediates.,Strong,HQ and manufacturing in Hyderabad per company website.,Strong,USFDA-approved manufacturing facility per company website. Regulated API manufacturing with DMF filings. Supplies both domestic and export pharma markets.,Moderate,Promoter-led but specific technical credentials of leadership not confirmed in public sources. Scored Moderate based on presence of technical manufacturing operations rather than confirmed founder academic background.,Strong,"API manufacturing benefits from China+1, PLI scheme for pharma, and growing global demand for India-made active ingredients. Significant government policy tailwind.",Strong,USFDA approval (certification signal) confirmed. Active DMF filings for export markets (financial/export growth signal). Website shows updated product listings. Two confirmed signals: Certifications + Website activity.,80,A - Strong Federer,Pass,USFDA-approved API manufacturer in Hyderabad with active DMF filings for global markets - benefiting directly from international pharma companies' drive to dual-source APIs away from China.,
Vasant Chemicals,vasantchemicals.com,Hyderabad,Specialty chemicals,"Specialty inorganic chemicals, chlorine-based derivatives, industrial chemicals for pharma and industrial applications",Rs.50-100Cr,Promoter-led (founding family),Strong,As per company website: in-house chemical manufacturing plant producing specialty inorganic chemicals. Not a trading or distribution company.,Strong,HQ and manufacturing in Hyderabad per company website and MCA records.,Moderate,Specialty inorganic and chlorine-based chemicals. Some technical complexity in process chemistry. Not a commodity bulk chemical - serves pharma and regulated industrial customers requiring consistent specifications.,Moderate,Promoter-led founding family. Technical credentials of current leadership not fully confirmed in public sources.,Moderate,Industrial chemicals for pharma benefit from domestic pharma growth. Some China+1 relevance but less pronounced than organic pharma intermediates.,Moderate,Active operations per website. One growth signal visible. Revenue in target band per industry estimates.,65,B - Probable Federer,Pass,Hyderabad-based specialty inorganic chemical manufacturer supplying pharma-grade chlorine derivatives to domestic pharmaceutical companies - serving a quiet but consistent input demand.,
Krebs Biochemicals,krebsbiochemicals.com,Hyderabad,Specialty chemicals / pharma,"Specialty pharma intermediates, APIs, and biochemicals for regulated domestic and export markets",Rs.50-100Cr,K.V. Raghavendra Rao (MD & Promoter),Strong,As per BSE filings and company website: in-house manufacturing facility in Hyderabad producing pharma intermediates and APIs. Listed on BSE - financials publicly available.,Strong,HQ and manufacturing in Hyderabad per BSE annual report and company website.,Strong,USFDA-approved manufacturing facility. Exports to regulated international markets. BSE-listed - compliance-grade operations. Specialty intermediates requiring multi-step synthesis.,Strong,K.V. Raghavendra Rao (MD) has technical background in chemistry and pharmaceutical sciences per company records and BSE filings. Promoter-driven with technical pedigree.,Strong,Pharma intermediates in strong China+1 tailwind. PLI scheme support. Growing international demand for India-sourced regulated APIs and intermediates.,Strong,BSE filings show revenue growth trajectory. USFDA approval confirmed (certification). Active export markets (financial/export signal). Website updated with product portfolio. Three confirmed signals: Certifications + Financial + Website.,90,A - Strong Federer,Strong Pass,"BSE-listed, USFDA-approved pharma intermediate manufacturer in Hyderabad - promoter-led with technical MD, growing export book, and positioned directly in the China+1 sourcing trend reshaping global pharma supply chains.",
Lazuline Biotech,lazulinebio.com,Hyderabad,Specialty biotech / recombinant proteins,Recombinant Human Serum Albumin (rHSA) using Pichia pastoris expression system; specialty recombinant proteins for biopharma,<Rs.50Cr,"Prasad Kandimalla (Co-founder, scientist-led)",Strong,As per company website: in-house recombinant protein production facility in Hyderabad. Uses Pichia pastoris fermentation system for rHSA production. Not a services company.,Strong,"HQ in Jubilee Hills, Hyderabad per company website and MCA filings.",Strong,"Recombinant HSA production in Pichia pastoris is a rare global capability - most biopharma companies still source from China/Europe. Deep biotech IP in expression system optimization. Highly technical, high-barrier manufacturing.",Strong,Prasad Kandimalla (co-founder) has scientist background in biotechnology per company records. Technical pedigree embedded in the founding team.,Strong,Biologics and biosimilars market growing rapidly. China+1 in biopharma - rHSA is a critical excipient. India's biomanufacturing push under National Biopharma Mission.,Moderate,Company is in a strong biotech tailwind but limited visible expansion signals in 2024-2025. Revenue small (~Rs.33Cr). One moderate growth signal from website activity. Scored Moderate.,85,A - Strong Federer,Pass,One of very few companies globally producing recombinant Human Serum Albumin in Pichia pastoris - a capability that biopharma companies are actively seeking to dual-source away from Chinese suppliers.,
